TurbineID,WindSpeed,RotorSpeed,BladeAngle,GearboxTemp,GeneratorTemp,Vibration,PowerOutput,Humidity,AmbientTemperature,TimeSinceLastMaintenance,Failure,FaultType
T78,17.3,14.4,45,95,83,1.15,1669,60,28,63,0,None
T14,24,16.3,43,77,92,0.66,1529,69,31,49,1,Blades
T78,11.2,13.3,33,70,92,0.54,1948,77,33,133,0,None
T25,16.6,14.2,17,91,78,0.57,1291,74,18,253,0,None
T100,24.1,10.1,34,71,82,0.7,1334,64,28,218,0,None
T4,18,11.2,18,82,79,1.22,1082,64,17,152,0,None
T79,18.5,15.7,19,88,93,0.51,1573,74,20,168,0,None
T32,8.6,12.2,21,82,90,1.23,1004,73,26,284,0,None
T82,14.9,11.4,26,78,86,1.1,1965,63,34,146,0,None
T78,12.3,13.2,33,94,88,1.01,1901,73,27,168,0,None
T65,14.4,11.6,25,79,93,1.41,1670,76,33,259,1,Generator
T61,21,10.6,29,75,81,1.33,1249,75,28,142,0,None
T20,14.2,12.8,16,82,75,0.92,1292,68,30,135,0,None
T74,6.3,11.6,34,74,76,0.51,996,76,19,64,0,None
T10,23.1,18,35,91,76,1.21,1172,68,25,296,0,None
T88,15.9,10.6,18,91,78,0.55,1288,73,31,132,0,None
T34,23.5,17.5,39,70,86,0.78,1393,75,28,233,0,None
T61,16.4,13.8,34,91,95,0.99,1411,75,16,263,0,None
T92,6.4,16.8,30,79,83,0.6,1874,67,28,49,0,None
T27,16.1,10.5,32,90,89,1.18,1395,71,19,259,0,None
T40,16.5,19.2,30,91,91,0.82,1953,72,34,63,0,None
T65,9.3,17.7,17,78,91,0.86,992,65,34,120,0,None
T33,14.4,11.4,37,76,84,1.15,1132,60,32,127,0,None
T68,14.2,12.2,30,95,86,0.9,1327,62,19,279,0,None
T71,17.5,16.4,20,92,82,0.72,1877,61,17,184,0,None
T9,10.2,19.2,35,95,89,0.68,1034,66,33,224,0,None
T16,16.6,14.5,36,83,83,1.22,1291,67,25,152,0,None
T5,9.8,14.9,21,84,81,1.25,1023,77,33,152,0,None
T98,13.9,12.4,39,80,88,0.7,1751,62,32,208,0,None
T23,7.5,13.8,29,85,82,0.82,1211,64,32,255,0,None
T43,5.7,12.9,20,89,83,1.46,1378,72,20,250,0,None
T89,11.4,13.5,35,94,89,1.48,1799,69,28,139,1,Gearbox
T57,10.5,10.2,33,75,92,1.09,1085,80,34,66,0,None
T51,13.1,10.4,20,82,84,1.26,1942,75,22,39,0,None
T13,24.2,16.8,41,84,85,1.25,1333,65,28,191,1,Blades
T24,15.4,16.8,41,85,90,0.9,1263,74,22,262,0,None
T11,16.1,13.3,40,86,79,0.55,1110,65,20,232,0,None
T52,23.8,18.9,27,94,83,1.24,1414,74,31,205,0,None
T17,23.4,12.7,40,97,91,0.64,1979,61,19,139,0,None
T37,22.7,14,40,75,93,0.79,1440,64,17,97,0,None
T13,7,17.3,45,91,88,0.82,1397,62,20,269,0,None
T62,17.7,17.4,44,84,83,0.85,908,69,24,167,0,None
T91,21.2,18.6,26,83,87,0.97,1216,71,31,132,0,None
T84,21.7,10.3,21,73,79,1,1151,65,20,143,0,None
T97,16.6,11.8,24,72,76,0.98,943,80,33,145,0,None
T96,5.3,16.4,30,99,76,0.66,1391,68,26,296,0,None
T8,24.5,13.4,39,89,77,1.15,1049,71,29,33,0,None
T56,14.4,10.4,37,84,80,1.29,1453,69,20,244,0,None
T93,12.9,15.9,39,93,84,0.96,1400,77,32,263,0,None
T83,12.9,13.9,26,73,80,1.34,1145,67,16,134,0,None
T70,13.5,13.6,22,88,87,0.94,1778,79,19,162,0,None
T44,9.8,12.6,16,90,95,1.07,1919,76,31,215,0,None
T60,11.5,10.1,34,84,85,0.57,1047,62,16,296,0,None
T41,24.7,11.8,39,78,90,0.65,1007,78,27,77,0,None
T21,12.4,14.7,42,99,81,1.27,1279,64,29,151,0,None
T86,15.5,12.8,29,79,94,0.75,1571,61,26,278,0,None
T42,22,18.7,43,74,80,0.59,1595,64,17,255,1,Blades
T74,15.5,11.4,21,89,87,1.07,1587,62,27,281,0,None
T74,11.5,18.8,30,87,95,0.59,1533,72,27,81,0,None
T29,15.5,14,21,93,91,1.18,1324,69,25,185,0,None
T80,7.3,12.8,21,93,95,1.19,1760,69,22,272,0,None
T65,7.6,13,44,89,83,0.95,1949,72,20,106,0,None
T17,18.9,13.3,40,76,77,1.19,1549,70,17,192,0,None
T30,23.3,15.1,15,97,80,1.3,1141,80,16,38,0,None
T26,19.5,13.5,23,77,94,0.7,1518,72,31,292,0,None
T53,6.5,16.5,21,73,82,1.15,1731,72,26,65,0,None
T19,13.1,14.3,19,79,77,1.19,1813,68,18,64,0,None
T53,5.1,16.7,36,84,87,0.69,1690,69,17,299,0,None
T85,15.2,16,32,76,85,1.23,1880,80,17,103,0,None
T17,8.9,12.4,29,80,76,1.22,1947,60,18,272,0,None
T46,22.4,18.1,21,85,84,0.66,1441,63,16,110,0,None
T85,7.1,18,23,80,88,0.82,1495,67,30,189,0,None
T53,5,19.9,26,73,80,1.44,1271,78,22,113,0,None
T64,14,11.8,39,76,77,0.57,1625,79,21,63,0,None
T45,8.1,18.5,45,94,92,0.73,1555,61,24,284,0,None
T49,19.8,18.7,21,99,88,1.08,1097,63,21,172,0,None
T19,23.4,16.4,25,74,78,1.47,1664,78,29,206,0,None
T71,5.8,15.1,23,90,88,0.76,1786,65,21,89,0,None
T81,12.9,19.6,16,97,90,1.32,1099,68,27,171,1,Gearbox
T65,24.9,19.7,22,79,87,0.87,1081,60,22,41,0,None
T37,19.7,16.4,42,95,77,0.85,1603,70,23,282,0,None
T70,24.1,13.6,40,97,77,1.5,1028,77,31,277,1,Gearbox
T26,8.3,18.2,20,79,76,1.32,1791,67,25,218,0,None
T2,9.4,10.9,26,72,80,0.75,1607,78,23,293,0,None
T59,8.1,12.9,24,98,76,0.69,936,67,22,139,0,None
T96,11,19.9,19,80,91,0.58,1747,73,28,252,0,None
T5,19.5,18.1,34,70,75,0.98,1461,66,28,130,0,None
T37,8.3,19.4,32,84,87,0.83,1446,70,17,181,0,None
T31,15.5,15.9,28,73,91,0.88,1243,77,28,197,0,None
T76,10.4,14.1,41,97,93,0.93,1212,77,24,181,0,None
T99,21.6,19.8,34,75,83,1.49,1450,62,34,213,0,None
T94,5.1,13.1,23,79,87,0.5,903,79,24,196,0,None
T48,9.5,17.6,26,94,94,0.93,1775,70,34,248,0,None
T6,17.1,15.6,20,94,88,0.56,1762,64,31,30,0,None
T15,6.9,12.3,33,97,93,1.17,1709,77,34,158,0,None
T15,14.3,10.2,33,85,89,0.55,1563,73,19,149,0,None
T61,13.7,13.8,41,100,76,1.27,1225,70,22,194,0,None
T16,22.1,15.5,41,85,79,1.37,1624,76,27,169,1,Blades
T20,17.5,11.8,40,94,94,1.47,1042,64,17,97,1,Gearbox
T77,17.8,14.1,31,81,92,0.62,1190,72,29,100,0,None
T44,24,16.2,35,98,83,1.48,950,79,20,266,1,Gearbox
T42,24.6,17.1,38,91,78,0.91,1845,73,18,205,0,None
T46,18.1,10.5,18,72,78,1.13,1811,72,16,69,0,None
T95,15.4,16.6,24,73,93,0.5,1396,61,23,172,0,None
T34,17.2,10.6,20,97,78,0.87,1381,64,18,183,0,None
T64,12.6,10.3,30,94,83,0.85,1919,72,25,212,0,None
T29,24.7,11.5,40,80,93,1,1643,74,23,199,0,None
T3,19.1,16.5,22,86,76,0.63,1680,78,32,54,0,None
T9,10.8,10.5,37,96,88,1.19,1295,77,16,54,0,None
T75,6.2,10.2,27,73,82,1.1,1221,67,32,254,0,None
T75,5.9,11.2,42,74,77,0.71,1026,74,29,127,0,None
T25,9.1,19.5,34,91,86,1.48,980,69,28,108,1,Gearbox
T86,9.7,19.1,44,72,85,0.51,1896,70,35,165,0,None
T42,13.3,10.9,22,81,77,0.84,1897,79,16,190,0,None
T46,9.3,13,43,78,80,0.76,1150,75,25,204,0,None
T73,17.6,19.5,26,93,90,1.06,941,79,30,72,0,None
T84,9.2,11,34,70,90,1.39,1281,75,26,162,0,None
T59,8.8,10.9,20,73,87,1.16,1947,75,21,51,0,None
T21,14.4,10.9,38,73,77,0.55,1236,69,16,220,0,None
T74,22.8,19.8,44,80,92,1.36,1852,62,28,287,1,Generator
T22,14.4,17.4,39,77,78,0.77,1798,73,32,131,0,None
T29,13.3,12.1,33,77,89,0.61,1939,69,29,32,0,None
T63,16.6,10.5,28,81,76,0.93,1446,72,16,30,0,None
T73,10.1,19.7,25,76,82,1.4,1914,66,29,262,0,None
T61,12.1,14.3,28,73,85,0.53,1716,64,30,168,0,None
T64,9.3,16,25,87,76,1.13,1855,65,28,283,0,None
T69,16.4,12.8,40,99,78,0.83,1707,73,27,256,0,None
T40,18.9,17.6,42,88,81,1.12,1407,79,29,144,0,None
T75,18.5,12,43,93,95,0.77,1911,80,27,46,0,None
T1,10.1,17.9,28,99,91,1.47,1781,76,25,264,1,Gearbox
T65,20.6,12.3,31,75,92,0.61,1605,79,26,203,0,None
T62,10.1,11,32,84,88,0.66,1431,66,16,81,0,None
T54,8,14.8,35,87,81,0.55,1004,60,26,138,0,None
T60,12,18.1,15,80,89,1.29,1797,64,29,166,0,None
T46,17,13.8,40,88,88,0.59,1358,73,25,274,0,None
T5,7.8,10.3,23,89,87,0.78,1295,78,26,229,0,None
T22,18,15.5,29,95,81,0.71,1154,78,30,95,0,None
T90,22.3,16.8,40,95,80,0.85,1496,77,18,222,0,None
T53,10.9,17.4,45,74,82,1.27,1813,75,30,52,0,None
T70,14,14,39,75,81,1.45,1219,66,22,269,0,None
T32,9.6,11,16,77,77,1.38,1913,62,31,291,0,None
T11,12.2,15.8,26,78,91,1.34,1337,71,19,200,1,Generator
T10,5.4,13.3,22,87,82,0.92,1966,67,31,255,0,None
T39,24.1,19.5,44,80,89,1.3,1644,63,31,240,1,Blades
T98,13.3,15,23,99,81,1.28,1304,69,21,253,0,None
T31,20.8,14.7,43,74,87,0.75,1982,71,31,240,1,Blades
T12,7.9,13.1,43,77,76,0.76,1554,75,17,88,0,None
T80,21.2,13.4,40,96,77,1,1746,76,31,154,0,None
T38,22.2,15.1,18,88,82,1.46,1397,69,18,126,0,None
T67,19.3,13.1,15,86,80,0.61,1031,78,35,218,0,None
T66,23.1,18.9,39,88,82,1.49,1960,76,27,199,0,None
T52,8.3,14.4,40,78,94,0.66,1254,69,31,140,0,None
T5,14.5,12.9,44,93,76,0.99,1910,67,26,222,0,None
T11,17.4,11.6,22,85,84,0.8,1898,66,27,285,0,None
T25,16.9,16.7,37,71,79,0.92,1004,69,25,280,0,None
T35,22.2,10.3,31,75,82,1.46,1026,67,18,143,0,None
T35,9.3,14.5,25,94,89,1.13,1573,69,20,54,0,None
T22,8.5,15.5,33,80,94,0.8,939,72,34,155,0,None
T37,10.1,13.4,31,93,89,1.13,1363,63,22,56,0,None
T86,22.8,17.5,24,90,93,0.95,1481,76,16,51,0,None
T55,23.8,16.8,23,79,78,1.44,1116,62,31,244,0,None
T75,16.4,19.7,30,74,79,0.85,1747,68,29,222,0,None
T96,15,15.1,29,94,93,1.08,1375,63,21,296,0,None
T99,17.1,15.4,24,89,87,1.35,1365,66,22,159,0,None
T95,17.3,12.5,23,79,91,1.46,1158,69,25,215,1,Generator
T72,8.4,13.9,44,86,79,1.3,1877,75,18,297,0,None
T64,18.7,10.3,41,88,82,1.44,912,73,35,212,0,None
T20,14,16.9,40,70,77,0.96,908,67,23,143,0,None
T98,15.3,13.1,21,90,93,1.26,1995,72,32,160,0,None
T4,5.6,15.4,21,90,94,0.59,923,66,32,106,0,None
T18,20.3,12.5,39,72,92,1.09,1071,77,20,223,0,None
T51,21.7,16.2,21,94,84,0.51,1871,70,17,121,0,None
T68,17.4,14.5,30,95,82,0.76,1577,74,24,95,0,None
T20,20,14.8,22,79,84,1.17,1587,66,19,286,0,None
T9,15.5,19.4,26,75,88,0.67,1423,74,23,149,0,None
T80,17.4,17.1,41,91,84,0.7,1066,79,33,137,0,None
T26,12.9,12.6,42,74,83,0.56,1304,62,27,153,0,None
T25,20.8,15,45,96,84,1.25,1690,72,23,253,1,Blades
T68,14.4,14.7,43,84,90,0.95,1434,70,27,157,0,None
T41,18.6,18,35,97,91,1.39,1703,71,17,279,1,Gearbox
T59,17.4,18.3,28,89,92,0.86,908,64,30,47,0,None
T45,19,12.8,17,79,80,0.94,1621,61,26,203,0,None
T41,20.7,18.2,33,84,78,0.99,1552,61,34,55,0,None
T38,15.3,11.8,21,86,82,1.36,1972,66,23,53,0,None
T19,21.3,17.6,41,94,83,0.79,1898,77,19,198,1,Blades
T14,14.9,12.5,31,96,89,0.55,1560,76,19,293,0,None
T21,24.1,13,37,90,90,1.13,1534,80,32,97,0,None
T15,20.1,18.5,35,79,95,1.33,1002,75,24,203,1,Generator
T3,8.4,14.2,25,86,83,1.06,1935,67,21,217,0,None
T37,21.6,19.9,38,74,83,0.82,1678,78,31,203,0,None
T46,16,11.5,40,77,86,1.13,1452,76,30,246,0,None
T16,24.7,14.6,37,79,91,1.49,1843,74,33,103,1,Generator
T14,19.4,17.3,38,72,88,1.07,1704,71,32,30,0,None
T9,6.7,10.1,26,97,86,0.82,1520,74,17,91,0,None
T7,12.9,11.5,43,74,88,0.74,1493,79,18,32,0,None
T14,15.3,10.2,28,91,84,1.5,1919,77,24,132,1,Gearbox
T6,21.8,19.9,42,85,90,1.35,1779,64,33,150,1,Blades
T85,19.6,17.6,41,95,77,0.78,1343,62,30,108,0,None
T15,12.4,13.7,19,92,85,0.76,1592,60,18,295,0,None
T52,18.1,11.6,44,93,91,1.3,1116,74,19,98,0,None
T72,16.5,10.9,45,83,81,1.49,1927,66,24,88,0,None
T34,7.5,15.3,33,95,92,0.97,1665,74,29,266,0,None
T1,9.7,19.8,38,73,91,0.73,1956,64,19,253,0,None
T96,11.8,16.7,43,83,87,0.73,1221,69,17,206,0,None
T69,8.9,13.7,16,100,80,1.3,1247,60,15,274,0,None
T94,8,15,43,98,92,1.11,1815,62,18,181,0,None
T86,6.2,20,34,72,76,1.13,1188,62,23,87,0,None
T20,22.5,15.2,40,87,87,0.69,1293,76,32,70,0,None
T80,10.8,19.6,31,79,91,0.63,1873,78,16,171,0,None
T7,10.8,10.2,31,92,85,0.51,1470,63,29,72,0,None
T7,9.1,17.2,42,92,77,1.42,1230,70,18,132,1,Gearbox
T50,14.5,16.3,30,70,92,0.85,1350,63,25,115,0,None
T2,15.3,16.9,29,95,93,1.26,1683,76,21,128,0,None
T47,9.2,15.7,33,77,86,1.38,1075,76,32,46,0,None
T14,17.2,10.4,31,99,91,1.1,1958,76,28,264,0,None
T31,19.5,11.5,28,97,87,0.92,1442,65,21,210,0,None
T50,12.5,19.2,20,76,86,0.54,1741,67,25,75,0,None
T61,16.7,12.3,27,89,78,0.84,1672,64,30,138,0,None
T41,15,19.9,23,79,84,0.82,1649,60,32,235,0,None
T14,8.9,16.8,27,73,89,1.07,1362,61,27,182,0,None
T5,19.6,14.4,33,96,84,1.26,947,80,27,212,0,None
T75,21,19.2,33,75,87,1.21,1716,78,17,154,0,None
T5,18,17.9,22,83,93,1.37,1949,62,25,179,1,Generator
T64,11.5,14.3,18,98,82,0.55,1456,69,31,247,0,None
T29,23.5,10.7,37,72,92,1.11,1949,79,29,199,0,None
T75,14.1,18.7,31,87,76,0.69,1488,61,16,41,0,None
T5,10.3,17.7,28,87,92,1.47,1084,73,29,72,1,Generator
T96,13.2,17.9,19,93,77,0.91,1163,62,23,67,0,None
T36,18.8,17.4,27,95,81,1.12,1851,67,29,34,0,None
T79,21.9,12.8,40,83,85,0.85,1584,61,31,63,0,None
T19,12.1,18.6,32,92,88,0.72,1356,72,18,216,0,None
T64,9.7,10,18,97,94,1.19,1779,74,32,263,0,None
T22,17.5,12.4,25,97,81,1.44,1606,61,19,98,1,Gearbox
T34,23.4,10.5,44,85,77,0.56,1860,70,21,119,1,Blades
T56,8.7,11.1,31,88,84,1.33,1968,66,29,138,0,None
T17,21.1,15.3,24,90,82,0.84,1616,74,30,241,0,None
T76,14.5,10.4,42,95,87,0.62,1968,70,24,275,0,None
T89,21,11.8,25,85,93,1.21,1417,60,17,238,0,None
T56,15.1,12.3,37,73,88,0.58,1824,65,33,246,0,None
T17,12.5,16.6,19,82,87,1.23,1897,70,22,217,0,None
T74,18.9,14.7,20,92,80,0.94,950,62,34,246,0,None
T92,23,14.6,32,89,80,0.66,1852,78,32,80,0,None
T82,11.4,17.7,22,93,84,0.66,1350,78,21,256,0,None
T18,14.2,14.6,16,85,93,1.25,1338,62,30,231,0,None
T45,9.6,13.5,43,75,87,1.33,1760,78,20,133,0,None
T96,8.7,19.6,17,73,85,1.19,1171,71,16,59,0,None
T78,20.6,10.1,37,84,86,1.22,935,77,20,239,0,None
T56,9,13.1,25,76,92,1.35,1198,73,18,278,1,Generator
T80,20.9,16.1,43,99,89,0.93,1613,78,21,96,1,Blades
T50,13.6,17.8,45,76,94,0.67,1949,69,25,47,0,None
T58,24.9,18.2,25,87,87,0.88,1335,80,18,73,0,None
T18,8.9,10.5,33,70,79,1.48,1777,77,17,86,0,None
T80,6.9,17.1,38,78,75,0.95,1121,73,25,213,0,None
T81,6.5,17.2,19,78,81,1.42,1837,68,22,76,0,None
T7,21.7,12.1,36,92,76,1.2,1742,72,24,252,0,None
T76,13.8,11.1,42,85,83,1.24,1393,75,35,48,0,None
T98,5.1,17.5,20,70,79,0.69,1884,67,22,198,0,None
T10,22.5,12.5,40,81,83,0.87,942,71,27,276,0,None
T69,22.5,10,18,89,83,1.23,1764,78,25,125,0,None
T85,21.1,12.2,32,89,81,1.16,939,79,30,95,0,None
T3,10,10.3,25,72,88,1.36,1851,72,35,157,0,None
T83,12.5,12.5,29,98,84,0.71,1094,63,25,225,0,None
T44,19.9,13.4,24,77,93,1.25,942,75,22,204,0,None
T99,14.8,12.7,23,97,77,0.54,1240,65,18,222,0,None
T70,8.1,19.2,37,76,83,0.8,1097,61,31,171,0,None
T14,9.9,12.3,22,87,91,1.13,1617,67,16,62,0,None
T4,24.5,14.7,27,82,85,1.48,1420,65,27,128,0,None
T18,8,19.6,23,87,94,1.49,1043,70,30,284,1,Generator
T93,19.5,18.8,22,85,78,0.94,1908,60,19,66,0,None
T99,14.6,13.1,34,70,81,1.26,1305,74,25,169,0,None
T52,20,13.3,16,81,77,1.1,1211,69,23,222,0,None
T38,18.2,15.9,39,70,80,1.21,1668,65,19,66,0,None
T80,13.8,19.2,31,91,88,1.23,1333,65,33,52,0,None
T20,12.1,10.1,40,96,85,1.05,1060,61,26,199,0,None
T88,20.1,13.9,21,82,78,1.31,1541,64,32,91,0,None
T99,11.5,18.5,36,86,84,1.08,933,62,32,211,0,None
T44,20.8,14.1,28,72,92,0.6,1590,69,35,201,0,None
T51,18.6,17.2,17,82,84,1.49,1854,70,33,60,0,None
T19,16.6,16.9,38,74,75,0.8,1188,76,30,39,0,None
T68,12.4,12.1,38,72,76,1.46,1838,71,29,151,0,None
T97,9.1,14.5,23,75,84,0.79,1170,72,18,279,0,None
T66,19.2,15.7,42,96,87,1.35,1123,62,24,169,1,Gearbox
